object_id,display_template,title,provenance,binding_description,date,title,location,Publisher,longitude,latitude,subject,local_note,editor,creator,note,call_number,,
buch_001,record,Allgemeiner Volks-Kalender 1854,,Blind tooled blue cloth over boards; marbled edges; gilt lettering and decoration on spine.,1854,Allgemeiner Volks-Kalender 1854,Berlin, Trowitzsch,13.4050,52.5200,Humor ; Science,Literary advertisements at the end,,,,PT19.A37,,
buch_002,record,Dresdner Kalender zum Gebrauch des Residenz auf das Jahr 1812,Heavy annotation in pen throughout,Gloster marbled paper over boards; year in manuscript on spine and cover.,1812,Dresdner Kalender zum Gebrauch des Residenz auf das Jahr 1812,Dresden, J. F. Dorin,13.7373,51.0504,Post schedules ; genealogies of monarchs ; currency statistics ; calendar;,Manuscipt notes of Napoleon's visit to the king of saxony,,,,PT19.D8,,
buch_003,record,Frauentaschenbuch für das Jahr 1823,,Illustrated white papers over boards; gilt edges.,1823,Frauentaschenbuch für das Jahr 1823,Nürnberg, J. L. Schrag,11.0778,49.452,Poetry ; Essays ; Legends ; Stories,,,"Rückert, Fr.; Alexis, W.; Schuetz; Kalkreuth; Schwab, G.; Conz; Nidda, von; Steinmann, Fr..",,PT19.F8,,
buch_004,record,Helena Taschenbuch für 1838,,Green paper over boards; gilt edges.,1838,Helena Taschenbuch für 1838,Bunzlau, Appun's Buchhandlung,,,Novellas,,,"Schefer; Scavola; Hanke, H.",,PT19.H45,,
buch_005,record,Helena Taschenbuch für 1837,,Rebound; Green cloth over boards; gilt edges. ,1837,Helena Taschenbuch für 1837,Bunzlau, Appun's Buchhandlung,,,Novellas ; Essays ; Poetry,,,"Tieck, Storch, Wachsmann, Schefer",,PT19.H45,,
buch_006,record,Helena Taschenbuch für 1839,,Rose paper over boards; gilt edges; cream end papers.,1839,Helena Taschenbuch für 1839,Bunzlau, Appun's Buchhandlung,,,Novellas,,,"Tieck, von Guseck, Schefer, Storch",,PT19.H45,,
buch_007,record,Helena Taschenbuch für 1840,Illegible former owner's inscription ,1/4 Morocco with blue spatter paste paper; red spattered edges.,1840,Helena Taschenbuch für 1840,Bunzlau, Appun's Buchhandlung,,,Novellas,,,Scaevola; Rein; von Guseck,,PT19.H45,,
buch_008,record,Königsberger Taschenbuch 1846,,Embossed brown cloth over boards.,1846,Königsberger Taschenbuch 1846,Königsberg, H. L. Voigt ,,,Poetry; Social ; Political ; Religious Essays,,"Walesrode, L.","Crelinger; Jung, Alex; Jacoby, Joh.; Wechsler; Walesrode; Freundt; Jachmann; v. Lengerke; Wolf.",,PT19.K75 1,,
buch_009,record,Königsberger Taschenbuch 1846,Former owner's incription: Aus der Buchhandlung A. H. Strempel in Liegnitz,Quarter calf with textured paper over boards; green paper manuscript spine label ,1846,Königsberger Taschenbuch 1846,Königsberg, H. L. Voigt ,,,Poetry; Social ; Political ; Religious Essays,,"Walesrode, L.","Crelinger; Jung, Alex; Jacoby, Joh.; Wechsler; Walesrode; Freundt; Jachmann; v. Lengerke; Wolf.","Sold by a book seller in Legnica, Poland",PT19.K75 2,,
buch_010,record,Literarhistorisches Taschenbuch 1846,,Half cloth with Papier Tourniquet marbled paper over boards ,1846,Literarhistorisches Taschenbuch 1846,Hannover, G. S. Rius ,9.7332,52.3759,Social ; hostorical Essays,,R. G. Pruß,,Absent from 1986 Catalog,PN14.L77,,
buch_011,record,Taschenbuch für Frauenzimmer,Former owner's sticker: Ferd. Schöningh Buchhandlung & Antiquarität Osnabrück,Green paper over boards; red edges; red water color on inside of back cover.,,Taschenbuch für Frauenzimmer,Berlin, Gottlieb August Lange,13.4050,52.5200,Poetry ; Essays ; Cooking and Dancing Instruction,,"Müchler, Karl",Müchler,,PT19.T295,,
buch_012,record,Taschenbuch für Grabennymphen auf das Jahr 1787,,Gold stamped red Morocco over boards; gilt edges; red cloth end papers.,1787,Taschenbuch für Grabennymphen auf das Jahr 1787,[Wien], Paul Knepler,,,Satire,A 1910 facsimile of the original 1787 edition. ,,,,PT19.T28,,
buch_013,record,Musenalmanach für 1776,,Spattered beige paper over boards; spine label. ,1776,Musenalmanach für 1776,Lauenberg, Berenberg,,,Calendar ; Astrology ; poetry ; songs with music ; fables ; stories ; history of freemasonry,,"Voss, J. H.",Brückner; Claudius; Klopstock; Miller J.M.; Eber J.A.; Bürger; Hölty; Pfeffel; Müller; Voss J. H.,,PT19.M967,,
buch_014,record,Musenalmanach für 1777,,Spattered gray paper over boards; red edges; spine label.,1777,Musenalmanach für 1777,Hamburg, C. E. Bohn,,,Calendar ; astrology ; humor ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.","Brückner; Claudius; Göckingk; Klopstock; Schmidt, K. E.; Bürger; Gleim; Hölty; Pfeffel; Voss, J. H.",,PT19.M967,,
buch_015,record,Musenalmanach für 1778,,Spattered beige paper over boards; red spattered edges; spine label. ,1778,Musenalmanach für 1778,Hamburg, C. E. Bohn,,,Humor ; proverbs ; poetry ; songs ; stories,,"Voss, J. H.","Andre, Joh.; Bürger; G. A. Hölty; Lenz, J.M; Pfeffel; Brückner; Göckingk; Klopstock; Overbeck; Voss.",,PT19.M967,,
buch_016,record,Musenalmanach für 1779,,Spattered beige paper over boards; red spattered edges; spine label. ,1779,Musenalmanach für 1779,Hamburg, C. E. Bohn,,,Poetry ; songs ; music. ,,"Voss, J. H.",Amabank; v. Döring; Gökingk; Jacobi; Pfeffel; Brückner; Gleim; Hölty; Klopstock; Voss.,,PT19.M967,,
buch_017,record,Musenalmanach für 1780,,Spattered beige paper over boards; spine label. ,1780,Musenalmanach für 1780,Hamburg, C. E. Bohn,,,Calendar ; music ; poetry ; songs ; stories.,Pages torn out of calendar section,Voss und Gökingk,"v. Döring; Gleim; Jacobi; Mendelsohn, M.; Sangerhausen; Gatterer; Gökingk; Lessing; Pfeffel.",,PT19.M967,,
buch_018,record,Musenalmanach für 1781,,Yellow paper over boards; gilt edges; spine label. ,1781,Musenalmanach für 1781,Hamburg, C. E. Bohn,,,Calendar ; astrology ; music ; poetry ; songs ; stories.,,Voss und Gökingk,Blum; Engenschall; Klopstock; Pfeffel; Voss; v. Döring; Gleim; Overbeck; Sangerhausen; Campe.,,PT19.M967,,
buch_019,record,Musenalmanach für 1782,,Spattered gray paper over boards; spine label.,1782,Musenalmanach für 1782,Hamburg, C. E. Bohn,,,Calendar ; astrology ; music ; poetry ; songs ; stories.,,Voss und Gökingk,v. Döring; Gleim; Jacobi; Lessing; Overbeck; Engelschall; Gökingk; Klopstock; Pfeffel; Voss.,,PT19.M967,,
buch_020,record,Musenalmanach für 1783,,Spattered beige paper over boards; red spattered edges; spine label. ,1783,Musenalmanach für 1783,Hamburg, C. E. Bohn,,,Music ; poetry ; songs ; stories.,,Voss und Gökingk,Engelschall; Gökingk; Klopstock; Overbeck; Reinhard; Gleim; Jacobi; Lessing; Pfeffel; Voss.,,PT19.M967,,
